ruta,metodo,archivo,linea,depends,usa_request,auth,tenant_check,rate_limit,roles,caller_frontend,auditado
/api/buyer/parecidos,GET,backend/routes/buyer_signals.py,1083,,sí,,,,,,
/api/casamentera/correr,POST,backend/routes/casamentera.py,110,,sí,,,,,,
/api/buyer/alertas,GET,backend/routes/casamentera.py,130,,sí,,,,,,
/api/cerebro/status,GET,backend/routes/cerebro.py,46,,sí,,,,,,
/api/cerebro/detect-market,POST,backend/routes/cerebro.py,64,,sí,,,,,,
/api/cerebro/tasks,GET,backend/routes/cerebro.py,75,,sí,,,,,,
/api/cerebro/runs/{run_id},GET,backend/routes/cerebro.py,84,,sí,,,,,,
/api/cerebro/run,POST,backend/routes/cerebro.py,93,,sí,,,,,,
/api/cerebro/tasks/{task_id}/approve,POST,backend/routes/cerebro.py,105,,sí,,,,,,
/api/cerebro/tasks/{task_id}/reject,POST,backend/routes/cerebro.py,125,,sí,,,,,,
/api/cerebro/config,GET,backend/routes/cerebro.py,150,,sí,,,,,,
