coleccion,n_archivos,archivos
buyer_coach_conversations,4,backend/buyer_coach_engine.py;backend/buyer_score_engine.py;backend/demand_intelligence.py;backend/marketplace_granularity.py
natural_risk_layers,4,backend/climate_migration_engine.py;backend/demand_intelligence.py;backend/natural_risk_engine.py;backend/routes/public.py
shf_series,4,backend/colonia_valoracion_engine.py;backend/composite_metrics.py;backend/routes/dmx_indices.py;backend/shf_engine.py
di_cross_checks,4,backend/cross_check_engine.py;backend/routes/developer.py;backend/routes/documents.py;backend/score_engine.py
partners,4,backend/cross_sell_engine.py;backend/routes/cross_sell.py;backend/routes/partners.py;scripts/qa_redteam.py
fraud_alerts,4,backend/demand_intelligence.py;backend/fraud_detection_engine.py;backend/routes/fraud_detection.py;backend/vertical_products_engine.py
demanda_insatisfecha,4,backend/demand_twin_engine.py;backend/routes/buyer_signals.py;backend/routes/public.py;backend/routes/superadmin_founder_console.py
asesor_taste_profile,4,backend/engines_batch_demanda.py;backend/routes/advisor.py;backend/routes/superadmin_devmaster.py;backend/taste_profile.py
developer_reports,4,backend/estudio_autopiloto_engine.py;backend/estudio_mercado_engine.py;backend/routes/developer.py;backend/routes/estudio_mercado.py
asesor_photo_tags,4,backend/photo_tagger.py;backend/routes/advisor.py;backend/routes/superadmin_devmaster.py;backend/taste_profile.py
ie_data_sources,4,backend/recipe_catalog.py;backend/routes/ie_engine.py;backend/routes/scores.py;backend/scheduler_ie.py
zones,4,backend/reviews_residents_cron.py;backend/reviews_residents_engine.py;backend/routes/dev_batch7.py;backend/routes/social_cards.py
risk_scores_zone,4,backend/risk_score_engine.py;backend/routes/public_zones.py;backend/routes/widgets.py;backend/score_engine.py
dev_advisor_authorizations,4,backend/routes/advisor_whitelist.py;backend/services/advisor_authorization.py;backend/services/directory_aggregator.py;backend/services/lead_capture.py
asesor_metrics_snapshots,4,backend/routes/asesor_metrics.py;backend/scheduler_asesor_snapshots.py;backend/services/lead_to_asesor_match.py;backend/services/trust_score.py
user_sessions,4,backend/routes/auth.py;backend/server.py;backend/services/internal_users.py;backend/services/privacy_center.py
project_amenities,4,backend/routes/dev_amenity_intel.py;backend/routes/dev_batch11.py;backend/routes/public.py;backend/routes/wizard.py
dev_payment_schemes,4,backend/routes/dev_batch1.py;backend/routes/public.py;backend/routes/wizard.py;backend/server.py
project_construction_progress,4,backend/routes/dev_batch1.py;backend/routes/dev_batch2.py;backend/routes/dev_batch3.py;backend/routes/wizard.py
dev_internal_users,4,backend/routes/dev_batch3.py;backend/services/directory_aggregator.py;backend/services/internal_users.py;backend/services/mini_market_engine.py
brand_kits,4,backend/routes/studio_brand_kit.py;backend/studio_brand_kit_engine.py;backend/studio_carrusel_engine.py;backend/studio_landing_engine.py
buyer_views,4,backend/services/buyer_history.py;backend/services/colonia_comparator.py;backend/services/comprador_dashboard.py;backend/services/wrapped_generator.py
lead_events,4,backend/services/lead_activity.py;scripts/concurrent_load.py;scripts/e2e_cohort.py;scripts/flywheel_final.py
agent_workforce_runs,3,backend/agent_workforce/orchestrator.py;backend/asistente_engine.py;backend/routes/agent_workforce.py
argumentario_scripts,3,backend/agentic_crm/argumentario_engine.py;backend/agentic_crm/observability_engine.py;backend/routes/observability.py
whatif_scenarios,3,backend/agentic_crm/observability_engine.py;backend/routes/whatif.py;backend/whatif_engine.py
marketing_recommendations,3,backend/agentic_crm/observability_engine.py;backend/routes/subagents.py;backend/sub_agents/marketing_agent.py
ai_budget_caps,3,backend/ai_budget.py;backend/ai_cost_aggregations.py;backend/routes/superadmin_ai_cost.py
ai_suggestions,3,backend/ai_suggestions.py;backend/routes/funnel.py;backend/services/insights_ai.py
tenants,3,backend/anomaly_detection_engine.py;backend/brochure_engine.py;backend/routes/superadmin_founder_console.py
caya_sessions_migration,3,backend/asistente_engine.py;backend/atlax_engine.py;backend/migrations/migrate_caya_to_asistente.py
caya_sessions,3,backend/asistente_engine.py;backend/atlax_engine.py;backend/migrations/migrate_caya_to_asistente.py
studio_landings,3,backend/asistente_engine.py;backend/routes/studio_landing.py;backend/studio_landing_engine.py
virtual_staging_cache,3,backend/asistente_engine.py;backend/routes/virtual_staging.py;backend/virtual_staging_engine.py
atlax_threads,3,backend/atlax_engine.py;backend/live_pulse_engine.py;backend/live_pulse_readiness.py
asesor_tareas,3,backend/auto_pilot_engine.py;backend/health_score.py;backend/routes/advisor.py
battle_card_snapshots,3,backend/battle_card_cron.py;backend/battle_card_engine.py;backend/routes/battle_card.py
bulk_ingest_items,3,backend/bulk_ingest_engine.py;backend/routes/bulk_ingest.py;backend/routes/superadmin_audit.py
dmx_embeddings,3,backend/cerebro/lookalike.py;backend/rag_engine.py;backend/routes/rag_admin.py
reverse_search_cache,3,backend/climate_migration_engine.py;backend/fit_engine.py;backend/lead_capture_marketplace_engine.py
cron_heartbeats,3,backend/compliance_engine.py;backend/cron_heartbeat.py;backend/routes/superadmin_health.py
conversation_ab_tests,3,backend/conversation_ab_testing.py;backend/conversation_engine.py;backend/routes/conversation_ab_testing.py
facts_buyer_signals,3,backend/cube_olap_engine.py;backend/demand_twin_engine.py;backend/routes/superadmin_founder_console.py
broker_listings,3,backend/demand_intelligence.py;backend/maps_cross_engine.py;backend/maps_engine.py
funnel_events,3,backend/diagnostic_engine.py;backend/routes/funnel.py;backend/services/wrapped_generator.py
director_sessions,3,backend/director_agent_engine.py;backend/mcp_tools.py;backend/routes/director.py
entity_duplicates_pending,3,backend/entity_resolution_cron.py;backend/entity_resolution_engine.py;backend/routes/entity_resolution.py
external_insights_cache,3,backend/external_insights_cron.py;backend/external_insights_engine.py;backend/routes/external_insights.py
plan_templates,3,backend/feature_flags_engine.py;backend/routes/superadmin_commercial.py;backend/routes/superadmin_founder_console.py
tenant_snapshots,3,backend/feature_flags_engine.py;backend/routes/superadmin_commercial.py;backend/routes/superadmin_founder_console.py
fgj_trajectory_zone,3,backend/fgj_trajectory_ingest.py;backend/gentrification_engine.py;backend/score_engine.py
zone_forecasts,3,backend/forecast_engine.py;backend/routes/forecast_accuracy.py;backend/routes/public.py
gov_data_mx_cache,3,backend/gov_data_mx_engine.py;backend/routes/gov_data_mx.py;backend/scripts/seed_w6_gov_data_mx.py
public_api_keys,3,backend/mcp_server.py;backend/public_api_auth.py;backend/routes/public_api_v1.py
ai_usage,3,backend/metrics_cube_aggregations.py;backend/routes/superadmin_health.py;backend/routes/superadmin_tenants.py
model_validation_runs,3,backend/model_validation_engine.py;backend/routes/superadmin_data_lake.py;backend/routes/superadmin_devmaster.py
oauth_tokens,3,backend/oauth_calendar.py;backend/probes/batch15.py;backend/routes/dev_batch15.py
chat_messages,3,backend/routes/advisor.py;backend/services/chat_engine.py;backend/services/client_insights.py
argumentario_knowledge,3,backend/routes/argumentario.py;backend/services/argumentario_rag.py;backend/services/argumentario_seed.py
lead_source_attribution,3,backend/routes/b13.py;backend/routes/tracking_links.py;backend/services/sankey_data.py
buyer_alerts,3,backend/routes/buyer_alerts.py;backend/routes/casamentera.py;backend/services/buyer_alerts.py
alert_deliveries,3,backend/routes/buyer_alerts.py;backend/services/buyer_alerts.py;backend/services/wrapped_generator.py
buyer_elasticidad,3,backend/routes/buyer_signals.py;backend/routes/developer.py;backend/routes/superadmin_founder_console.py
copiloto_closings,3,backend/routes/copiloto_flywheel.py;scripts/propagation_directions.py;scripts/smoke_e2e.py
closing_lifts,3,backend/routes/copiloto_flywheel.py;backend/visitor_taste.py;scripts/propagation_directions.py
cross_org_partnerships,3,backend/routes/internal_users.py;backend/services/cross_org_partnerships.py;backend/services/directory_aggregator.py
